id;sapi_id;sem_code;batch;rpf;perilaku;ib_ke;jarak_ib;laktasi;tgl_ib
1;1551;30569;HH 56;8;2;2;45;1;2010-04-22
2;737;30569;HH 56;3;4;2;24;3;2010-04-24
3;192;30569;HH 56;9;1;2;28;5;2010-04-25
4;276;30569;HH 56;1;3;2;39;4;2010-04-25
5;1192;30569;HH 56;10;1;2;21;5;2010-04-25
6;1435;30569;HH 56;2;4;2;30;3;2010-04-25
7;1515;30154;D 005;10;2;3;30;2;2010-05-25
8;1557;30154;D 005;7;1;2;46;3;2010-05-25
9;190;30152;HH032;7;2;2;21;2;2010-08-26
10;1016;30152;HH032;5;2;2;85;2;2010-08-26
11;1474;30152;HH032;5;4;2;97;1;2010-08-26
12;284;30676;H018;1;5;2;18;1;2010-08-27
13;283;30153;H020;3;4;2;29;5;2010-08-28
14;318;30153;H020;1;3;3;68;3;2010-08-28
15;401;30152;HH032;4;3;3;24;4;2010-08-28
16;658;30153;H020;6;5;2;38;1;2010-08-28
17;1534;30153;H020;4;4;2;137;2;2010-08-28
18;1697;30153;H20;1;1;4;23;4;2010-08-28
19;552;30152;HH032;9;4;2;19;3;2010-08-29
20;735;30152;H032;2;2;3;31;5;2010-08-29
21;741;30676;H018;4;1;2;62;2;2010-08-29
22;1548;30152;H032;9;5;2;44;1;2010-08-29
23;1567;30676;H018;8;1;2;23;5;2010-08-29
24;411;30152;HH032;8;4;3;89;3;2010-08-30
25;421;30676;H018;5;3;2;186;4;2010-08-30
26;590;30676;H018;1;3;3;21;4;2010-08-30
27;674;30153;H20;7;2;3;67;3;2010-08-30
28;870;30152;HH032;9;5;2;58;4;2010-08-30
29;1401;30153;H20;5;3;3;40;2;2010-08-30
30;1525;30152;HH032;8;4;4;25;4;2010-08-30
31;1589;30153;H20;1;2;2;20;2;2010-08-30
32;416;30152;HH032;8;3;2;21;5;2010-08-31
33;1676;30153;H20;6;4;2;38;1;2010-09-01
34;837;30152;HH032;3;1;3;41;2;2010-09-02
35;1004;30152;HH032;6;5;3;23;4;2010-09-02
36;1764;30780;H023;6;1;2;90;3;2010-09-02
37;197;30152;HH032;6;4;2;71;3;2010-09-03
38;565;30780;H023;8;4;3;126;1;2010-09-03
39;23;30153;H20;1;4;2;93;2;2010-09-04
40;529;30152;HH032;8;1;2;53;2;2010-09-04
41;249;30152;HH032;7;1;2;20;5;2010-09-05
42;464;30153;H20;9;5;2;20;5;2010-09-05
43;1512;30152;HH032;9;1;2;92;2;2010-09-05
44;649;30780;H023;3;3;3;32;4;2010-09-06
45;708;30152;HH032;4;3;2;30;3;2010-09-06
46;754;30780;H023;6;1;2;32;1;2010-09-06
47;784;30780;H023;10;1;2;21;4;2010-09-06
48;840;30780;H023;6;3;2;21;5;2010-09-06
49;986;30152;HH032;1;5;2;18;2;2010-09-06
50;165;30152;HH032;10;2;2;51;5;2010-09-07
51;792;30152;HH032;8;4;2;20;2;2010-09-07
52;1398;30707;J50;5;3;3;32;1;2010-09-07
53;1732;30707;J50;7;5;2;21;4;2010-09-07
54;134;30152;HH032;7;3;2;31;1;2010-09-08
55;576;30152;HH032;9;2;2;61;4;2010-09-09
56;1013;30152;HH032;7;2;4;31;1;2010-09-09
57;428;30157;H020;1;5;2;70;2;2010-09-10
58;695;30157;H020;6;5;4;29;5;2010-09-10
59;280;30152;HH032;8;3;2;55;4;2010-09-11
60;866;30157;H020;2;1;2;21;3;2010-09-11
61;537;30157;II021;5;2;2;40;2;2010-09-12
62;662;30157;II021;3;5;2;15;2;2010-09-12
63;965;30157;II021;3;2;2;28;4;2010-09-12
64;1296;30707;J40;5;1;2;102;4;2010-09-12
65;57;30707;J40;4;1;3;22;3;2010-09-13
66;229;30157;II021;10;2;3;68;5;2010-09-13
67;210;30707;J41;7;3;2;17;1;2010-09-14
68;938;30157;II021;2;1;4;37;5;2010-09-14
69;1623;30157;H020;8;3;2;56;4;2010-09-14
70;1707;30157;H020;1;5;2;32;4;2010-09-14
71;1729;30157;H020;7;4;4;166;2;2010-09-14
72;670;30157;H020;1;2;3;28;2;2010-09-15
73;1150;30157;II021;10;2;2;51;1;2010-09-15
74;1173;30157;H020;5;3;2;58;4;2010-09-15
75;580;30707;J40;8;2;3;44;5;2010-09-16
76;1685;30157;H021;8;4;3;59;2;2010-09-16
77;204;30157;II021;5;5;2;59;1;2010-09-17
78;1023;30157;H021;4;2;2;57;2;2010-09-17
79;1256;30780;H023;9;5;3;60;4;2010-09-17
80;1686;30157;H021;2;4;3;59;1;2010-09-17
81;1769;30707;J40;4;3;2;17;1;2010-09-17
82;1782;30707;J40;5;5;2;97;1;2010-09-17
83;939;30157;H021;9;3;3;40;1;2010-09-18
84;22;30707;J40;7;4;2;93;5;2010-09-19
85;28;30707;J40;8;1;2;46;1;2010-09-19
86;291;30707;J41;6;2;2;31;2;2010-09-19
87;460;30157;II021;6;1;2;35;5;2010-09-19
88;603;30157;II021;8;2;3;28;4;2010-09-19
89;1367;30157;II021;1;5;2;29;4;2010-09-19
90;168;30157;II021;10;2;2;50;3;2010-09-20
91;1043;30157;II021;7;4;2;16;4;2010-09-20
92;1062;30157;II021;5;2;2;13;4;2010-09-20
93;1083;30778;H012;2;2;4;48;3;2010-09-20
94;1122;30157;II021;5;5;4;33;1;2010-09-20
95;1128;30157;II021;9;4;4;64;4;2010-09-20
96;1770;30778;H012;1;4;3;97;1;2010-09-20
97;1771;30707;J40;8;1;4;42;5;2010-09-20
98;208;30707;J40;8;1;2;62;3;2010-09-21
99;480;30778;H012;4;5;2;84;3;2010-09-21
100;720;30157;II021;2;4;3;20;3;2010-09-21
101;770;30778;H012;3;1;2;37;1;2010-09-21
102;1108;30707;J40;3;1;2;42;1;2010-09-21
103;1523;30707;J40;6;1;3;19;5;2010-09-21
104;288;30778;H012;1;3;4;62;1;2010-09-22
105;325;30778;H012;2;1;4;94;3;2010-09-22
106;445;30778;H012;7;2;3;84;4;2010-09-22
107;608;30157;II021;2;5;2;44;1;2010-09-22
108;923;30157;II021;9;4;2;15;1;2010-09-23
109;1032;30778;H012;6;3;2;62;3;2010-09-23
110;1595;30707;J40;3;1;2;97;2;2010-09-23
111;536;30778;H012;10;3;2;86;2;2010-09-24
112;1109;30778;H012;8;1;2;24;4;2010-09-24
113;1628;30778;H012;6;3;2;13;4;2010-09-24
114;485;30778;H012;8;5;3;21;5;2010-09-25
115;1093;30778;H012;7;2;3;22;2;2010-09-25
116;1279;30157;II021;1;1;2;74;5;2010-09-25
117;1123;30157;H21;2;2;4;33;1;2010-10-05
118;928;30779;II008;10;1;2;30;4;2010-10-06
119;1346;30707;J41;9;1;2;51;2;2010-10-07
120;493;30739;X076;7;1;2;29;3;2010-10-26
121;848;30783;H30;6;5;2;24;4;2010-10-26
122;1218;30707;J41;3;3;2;26;4;2010-10-26
123;328;30676;H06;2;3;2;25;3;2010-10-27
124;510;30676;H06;6;2;3;86;1;2010-10-27
125;656;30739;X076;1;3;3;20;1;2010-10-27
126;1582;30783;H30;1;4;2;1;5;2010-10-27
127;1793;30676;H06;8;5;3;20;1;2010-10-27
128;516;30783;H031;1;5;2;119;1;2010-10-28
129;530;30783;H031;7;5;2;21;2;2010-10-28
130;617;30783;H031;7;4;2;21;3;2010-10-28
131;344;30783;H031;9;3;2;20;2;2010-10-29
132;434;30783;H031;3;3;4;76;4;2010-10-29
133;703;30783;H031;7;5;2;92;5;2010-10-29
134;748;30783;H031;8;5;4;76;5;2010-10-29
135;1700;30783;H031;4;5;2;22;1;2010-10-29
136;258;30783;H031;5;5;2;9;3;2010-10-30
137;287;30783;H031;3;5;3;68;3;2010-10-30
138;660;30783;H031;3;1;2;20;3;2010-10-30
139;1495;30783;H031;8;4;2;11;2;2010-10-30
140;1624;30783;H031;1;4;2;81;4;2010-10-30
141;431;30782;H030;5;5;2;51;4;2010-10-31
142;560;30782;H030;6;2;2;19;4;2010-10-31
143;727;30782;H030;5;4;2;22;1;2010-10-31
144;381;30782;H030;1;2;4;63;5;2010-11-01
145;666;30782;H030;7;1;4;53;4;2010-11-01
146;728;30782;H030;6;5;2;60;2;2010-11-01
147;1046;30571;HH028;8;1;2;30;1;2010-11-01
148;1576;30782;H030;2;1;4;25;4;2010-11-01
149;1711;30783;H30;6;4;2;43;5;2010-11-01
150;439;30782;H030;4;2;2;24;1;2010-11-02
151;1458;30783;H30;3;1;2;43;3;2010-11-02
152;1726;30782;H030;6;4;2;41;5;2010-11-02
153;1454;30571;H028;2;1;2;11;4;2010-11-03
154;429;30783;H30;2;4;3;35;4;2010-11-04
155;701;30676;H06;6;1;2;21;1;2010-11-04
156;389;30783;H031;6;1;2;39;1;2010-11-05
157;1619;30783;H30;3;1;2;22;2;2010-11-05
158;509;30783;H031;4;5;4;63;2;2010-11-06
159;517;30783;H031;8;3;2;42;2;2010-11-06
160;772;30783;H031;2;5;3;63;1;2010-11-06
161;803;30783;H031;9;4;2;156;4;2010-11-06
162;555;30707;J71;2;5;3;54;4;2010-11-07
163;1316;30676;H033;8;5;2;24;5;2010-11-07
164;1677;30783;H30;5;2;2;33;1;2010-11-07
165;335;30707;J71;4;3;2;11;2;2010-11-08
166;1227;30707;J71;8;2;2;9;4;2010-11-08
167;438;30707;J70;10;2;2;55;1;2010-11-09
168;1138;30707;J70;3;5;3;94;2;2010-11-09
169;1207;30783;H30;2;2;2;40;5;2010-11-10
170;1650;30707;J70;6;1;3;44;5;2010-11-10
171;379;30707;J70;1;1;2;73;2;2010-11-11
172;600;30676;H23;7;4;2;32;4;2010-11-12
173;1372;30707;J70;1;3;2;54;4;2010-11-12
174;1575;30781;H014;7;5;4;90;1;2010-11-12
175;303;30781;H014;6;5;2;21;1;2010-11-13
176;1546;30781;H014;3;2;2;59;5;2010-11-13
177;1716;30781;H014;8;4;2;62;3;2010-11-13
178;747;30781;H031;10;4;2;25;5;2010-11-14
179;422;30781;H031;8;5;2;55;3;2010-11-15
180;651;30781;H031;7;2;3;40;2;2010-11-15
181;782;30781;H031;10;5;2;28;1;2010-11-15
182;995;30781;H031;2;2;3;42;3;2010-11-15
183;1361;30781;H031;1;1;4;42;1;2010-11-15
184;1594;30781;H031;10;2;3;52;1;2010-11-15
185;710;30781;H031;2;2;2;29;2;2010-11-16
186;1708;30676;II033;8;3;2;27;2;2010-11-17
187;141;30676;II033;4;1;2;48;3;2010-11-18
188;270;30676;II033;6;1;2;24;2;2010-11-18
189;1537;30781;H014;2;5;3;20;1;2010-11-18
190;1239;30676;II033;8;1;2;74;4;2010-11-19
191;271;30781;H014;3;2;4;21;5;2010-11-20
192;1569;30781;H014;3;5;3;50;5;2010-11-20
193;1622;30781;H014;4;5;4;31;3;2010-11-20
194;1734;30676;II033;3;5;2;39;4;2010-11-20
195;1610;30781;H014;8;4;2;20;5;2010-11-21
196;1717;30676;II033;5;3;2;21;5;2010-11-21
197;1024;30781;H014;10;4;2;19;2;2010-11-22
198;1027;30781;H014;2;2;2;20;1;2010-11-22
199;273;30781;H014;2;5;2;17;3;2010-11-23
200;446;30781;H014;9;4;3;68;5;2010-11-23
201;841;30781;H014;2;5;2;13;1;2010-11-23
202;1396;30781;II014;6;2;3;6;1;2010-11-24
203;482;30781;H014;9;4;2;113;2;2010-11-25
204;700;30781;H014;3;3;2;45;5;2010-11-25
205;1081;30781;H014;4;1;3;16;4;2010-11-25
206;1232;30781;H014;5;3;2;37;4;2010-11-25
207;1338;30781;II014;6;2;2;36;4;2010-11-25
208;1752;30781;II014;5;2;2;21;5;2010-11-25
209;217;30781;II014;6;2;3;27;4;2010-11-26
210;1237;30781;II014;6;2;2;29;5;2010-11-26
211;200;30781;II014;9;5;2;70;2;2010-11-27
212;1198;30781;II014;10;2;4;25;3;2010-11-27
213;882;30707;J146;1;2;3;33;3;2010-11-28
214;963;30676;II033;2;2;2;38;1;2010-11-30
215;1068;30707;J146;10;3;2;23;3;2010-11-30
216;1186;30781;II014;3;3;2;45;4;2010-11-30
217;1300;30781;II014;1;1;2;22;2;2010-11-30
218;202;30676;II033;5;5;3;62;2;2010-12-01
219;240;30676;II033;5;3;2;46;2;2010-12-01
220;1130;30676;II033;2;3;3;44;5;2010-12-01
221;1314;30676;II033;5;2;2;20;5;2010-12-01
222;1424;30676;II033;9;2;2;57;4;2010-12-01
223;476;30676;II033;7;3;2;28;1;2010-12-02
224;753;30676;II033;9;4;3;46;2;2010-12-02
225;1098;30676;II033;6;5;2;34;3;2010-12-02
226;1511;30676;II033;8;3;2;22;1;2010-12-02
227;158;30676;II033;6;4;2;41;1;2010-12-03
228;1382;30157;H017;10;3;3;55;2;2010-12-06
229;139;30676;II033;2;3;2;39;4;2010-12-07
230;835;30676;II033;1;2;2;19;3;2010-12-07
231;1264;30676;II033;4;1;2;21;1;2010-12-07
232;1362;30676;II033;8;2;2;16;2;2010-12-08
233;215;30707;J56;9;4;2;60;5;2010-12-09
234;430;30707;J56;3;2;3;23;5;2010-12-09
235;1368;30707;J56;6;4;2;17;1;2010-12-10
236;1384;30707;J56;6;1;2;68;1;2010-12-10
237;1527;30707;J56;1;5;2;61;2;2010-12-10
238;901;30707;J56;2;1;2;58;5;2010-12-11
239;1147;30707;J56;4;4;2;62;5;2010-12-11
240;1496;30707;J56;2;5;2;62;1;2010-12-12
241;473;30707;J56;1;1;2;44;2;2010-12-13
242;820;30707;J56;10;3;4;25;4;2010-12-13
243;960;30707;J56;7;1;2;49;5;2010-12-13
244;1029;30157;H017;1;4;2;23;1;2010-12-13
245;1034;30707;J56;7;2;3;61;5;2010-12-13
246;1360;30707;J56;2;2;2;21;4;2010-12-13
247;696;30157;H017;7;4;2;30;3;2010-12-14
248;929;30775;H010;3;2;2;30;5;2010-12-14
249;1119;30778;II015;9;5;2;37;2;2010-12-14
250;238;30778;II015;2;1;2;27;5;2010-12-16
251;133;30778;II015;6;4;2;24;5;2010-12-17
252;228;30778;II015;3;3;3;42;1;2010-12-17
253;962;30778;II015;10;4;4;45;3;2010-12-17
254;1124;30775;H010;8;5;4;33;1;2010-12-17
255;1331;30778;II015;7;1;2;31;4;2010-12-17
256;1593;30775;H010;10;2;3;48;1;2010-12-17
257;1197;30778;II015;6;5;2;42;3;2010-12-18
258;883;30775;H010;3;2;2;75;4;2010-12-19
259;1309;30775;H010;8;2;2;19;2;2010-12-20
260;109;30775;H010;6;2;2;41;3;2010-12-21
261;400;30778;II015;5;5;2;21;3;2010-12-21
262;847;30778;II015;8;1;2;76;2;2010-12-21
263;385;30778;II015;7;1;3;21;3;2010-12-22
264;1112;30778;II015;2;4;3;63;2;2010-12-22
265;198;30778;II015;1;1;3;12;4;2010-12-23
266;1158;30778;II015;10;5;2;69;1;2010-12-23
267;1481;30778;II015;7;3;2;25;4;2010-12-23
268;1030;307104;AI200;3;5;2;23;3;2011-02-23
269;410;30777;H35;8;3;2;41;3;2011-03-28
270;1701;30775;H020;4;1;2;66;4;2011-03-31
271;954;30775;H020;7;1;2;53;3;2011-04-02
272;1791;30777;H35;8;4;4;28;4;2011-04-02
273;851;30777;H35;9;2;2;21;2;2011-04-05
274;398;30777;H35;2;3;2;65;4;2011-04-08
275;857;30783;H05;5;1;2;61;5;2011-04-09
276;45;30783;H05;3;2;2;33;1;2011-04-11
277;774;30783;H05;3;3;2;46;1;2011-04-12
278;919;30777;H35;8;4;2;41;5;2011-04-12
279;1531;30777;H35;8;1;3;40;4;2011-04-13
280;314;30783;H05;2;3;4;51;4;2011-04-15
281;155;30778;JJ013;2;1;2;48;2;2011-04-17
282;1503;30777;H35;3;5;3;32;3;2011-04-17
283;830;30783;H05;1;2;2;56;5;2011-04-18
284;892;30783;H05;5;2;3;55;4;2011-04-18
285;1175;30783;H05;8;2;3;23;1;2011-04-18
286;148;30778;JJ013;5;3;2;22;4;2011-04-19
287;267;30783;H05;1;4;2;47;3;2011-04-19
288;380;30778;JJ013;7;3;2;45;1;2011-04-19
289;871;30778;JJ013;7;4;2;58;2;2011-04-19
290;1479;30783;H05;4;3;2;50;2;2011-04-19
291;1516;30778;JJ013;4;4;2;50;3;2011-04-19
292;1566;30707;J40;2;5;2;44;5;2011-04-19
293;187;30778;JJ013;10;3;2;69;3;2011-04-20
294;205;30778;JJ013;7;1;2;49;5;2011-04-20
295;508;30777;H35;1;1;2;43;3;2011-04-20
296;1779;30783;H05;8;2;2;71;4;2011-04-20
297;157;30778;JJ013;10;4;2;21;2;2011-04-21
298;568;30707;J40;1;5;2;59;1;2011-04-21
299;1298;30783;H05;4;4;3;105;4;2011-04-21
300;1618;30783;H05;8;4;2;108;2;2011-04-21
301;1766;30707;J40;10;1;2;57;2;2011-04-21
302;462;30707;J40;5;3;4;13;1;2011-04-22
303;532;30778;JJ013;3;4;2;21;5;2011-04-22
304;750;30707;J40;9;5;3;44;3;2011-04-22
305;1376;30783;H05;9;5;2;18;5;2011-04-22
306;1647;30707;J40;3;5;2;14;2;2011-04-22
307;1798;30707;J40;7;1;2;27;1;2011-04-22
308;73;30783;H05;6;4;2;31;3;2011-04-23
309;188;30778;JJ013;1;5;2;66;2;2011-04-23
310;470;30783;H05;8;3;4;30;1;2011-04-23
311;985;30778;JJ013;4;1;2;41;2;2011-04-23
312;1397;30707;J40;8;3;2;79;4;2011-04-23
313;1446;30778;JJ013;7;4;2;17;1;2011-04-23
314;1635;30707;J40;7;1;2;26;4;2011-04-23
315;742;30707;J40;1;2;2;23;5;2011-04-24
316;798;30707;J40;1;3;3;20;1;2011-04-24
317;934;30778;JJ013;7;3;2;48;2;2011-04-24
318;951;30778;JJ013;8;3;2;71;4;2011-04-24
319;1455;30777;H35;9;5;3;50;3;2011-04-24
320;1561;30783;H05;9;2;2;88;1;2011-04-24
321;195;30778;JJ013;6;4;4;40;4;2011-04-25
322;1320;30777;H35;7;5;2;53;2;2011-04-25
323;1614;30707;J40;9;2;2;19;3;2011-04-25
324;241;30778;JJ013;8;1;2;21;5;2011-05-03
325;1152;30777;II017;1;5;3;90;2;2011-05-13
326;164;30777;II017;2;2;3;47;1;2011-05-21
327;260;30777;II017;2;1;3;41;4;2011-05-23
328;1021;30809;J75;1;2;3;51;2;2011-05-23
329;448;30777;II017;4;3;2;21;2;2011-05-24
330;719;30809;J75;4;1;3;74;4;2011-05-24
331;891;30777;II017;10;4;2;59;5;2011-05-24
332;1269;30777;II017;2;1;3;68;2;2011-05-24
333;1794;30809;J75;1;3;3;69;1;2011-05-24
334;594;30783;F14;9;1;2;14;4;2011-05-27
335;859;30783;F14;1;3;2;14;4;2011-05-30
336;1228;30783;F14;1;1;2;33;2;2011-06-02
337;471;30783;F14;1;2;2;35;1;2011-06-03
338;714;30783;F14;5;3;2;18;4;2011-06-07
339;1144;30783;J017;6;2;2;12;5;2011-06-11
340;1012;30783;J017;2;2;2;36;5;2011-06-13
341;1563;30777;II017;9;5;2;23;5;2011-06-13
342;1078;30783;J017;2;1;2;57;1;2011-06-15
343;1492;30777;II017;8;5;2;70;2;2011-06-15
344;1654;30783;J017;5;2;3;92;3;2011-06-18
345;1252;30774;JJ019;9;5;3;28;4;2011-06-19
346;415;30777;H15;10;2;2;76;2;2011-06-20
347;636;30782;JJ030;5;5;2;19;5;2011-06-20
348;653;30783;J017;7;3;2;84;2;2011-06-20
349;1215;30783;J017;7;3;2;43;4;2011-06-20
350;1476;30782;JJ030;4;5;4;25;4;2011-06-20
351;1721;30774;JJ019;10;1;2;40;4;2011-06-20
352;713;30783;J017;6;5;2;19;5;2011-06-21
353;940;30782;JJ030;3;2;2;20;2;2011-06-21
354;1377;30774;JJ019;4;2;4;40;5;2011-06-21
355;1690;30774;JJ019;9;1;4;22;2;2011-06-21
356;370;30782;JJ030;10;1;2;65;5;2011-06-23
357;878;30774;JJ019;1;2;2;19;2;2011-06-23
358;1761;30774;JJ019;9;5;2;19;2;2011-06-23
359;178;30782;JJ030;2;2;2;63;3;2011-06-24
360;484;30782;JJ030;3;4;3;25;1;2011-06-24
361;372;30782;JJ030;9;4;2;50;1;2011-06-25
362;479;30782;JJ030;7;5;2;43;3;2011-06-25
363;577;30782;JJ030;4;5;2;15;5;2011-06-25
364;1299;30157;H029;5;3;2;96;1;2011-06-25
365;1795;30157;H029;4;2;2;9;1;2011-06-27
366;581;30157;H029;6;5;2;49;1;2011-06-28
367;715;30157;H029;5;3;3;21;5;2011-06-28
368;1655;30157;H029;10;1;2;22;1;2011-06-29
369;646;30157;H029;1;1;2;38;2;2011-07-06
370;295;30157;H029;2;4;2;47;4;2011-07-07
371;716;30157;H029;1;4;3;18;1;2011-07-09
372;802;30157;H029;9;1;2;19;2;2011-07-09
373;1491;30157;H029;5;5;3;63;3;2011-07-11
374;412;30157;H029;1;2;2;88;3;2011-07-13
375;947;30157;H029;6;1;2;55;4;2011-07-13
376;816;30157;H029;10;4;3;18;4;2011-07-15
377;836;30157;H029;2;2;2;18;4;2011-07-15
378;311;30774;JJ025;6;4;3;46;1;2011-07-16
379;1226;30157;H029;1;3;3;19;1;2011-07-16
380;1348;30774;JJ025;3;5;3;56;1;2011-07-16
381;368;30676;II033;3;5;2;7;4;2011-07-18
382;514;30157;H029;2;4;2;8;2;2011-07-18
383;767;30676;II033;6;1;2;109;2;2011-07-18
384;1564;30157;H029;8;4;2;21;3;2011-07-18
385;29;30157;H029;2;3;2;46;1;2011-07-19
386;388;30157;H029;9;2;3;26;4;2011-07-19
387;631;30157;H029;9;5;2;22;1;2011-07-19
388;640;30573;J087;6;3;2;45;1;2011-07-20
389;898;30573;J087;1;2;2;21;2;2011-07-20
390;343;30573;J087;9;4;2;27;1;2011-07-21
391;377;30676;II033;8;2;2;93;3;2011-07-21
392;818;30573;J087;7;5;2;49;2;2011-07-21
393;958;30676;II033;7;1;2;154;2;2011-07-21
394;1675;30676;II033;2;2;2;44;1;2011-07-21
395;1176;30676;II033;3;3;4;15;4;2011-07-22
396;1600;30573;J087;2;2;2;30;1;2011-07-22
397;315;30157;H29;6;4;3;74;5;2011-07-23
398;785;30676;II033;2;3;2;47;5;2011-07-23
399;1506;30676;II033;7;5;3;116;2;2011-07-23
400;531;30573;J087;10;5;2;82;2;2011-07-24
401;957;30676;II033;5;2;3;53;5;2011-07-24
402;1373;30676;II033;3;4;2;82;1;2011-07-24
403;275;30573;J087;1;5;2;28;1;2011-07-25
404;922;30573;J087;6;5;2;10;3;2011-07-25
405;1178;30573;J087;4;2;3;42;1;2011-07-25
406;1555;30573;J087;1;1;2;67;4;2011-07-25
407;1626;30573;J087;10;1;4;76;1;2011-07-25
408;799;30775;JJ031;10;4;3;20;4;2011-08-20
409;406;30775;JJ031;9;1;3;23;1;2011-08-22
410;1579;30775;JJ031;6;3;2;35;1;2011-08-23
411;1002;30775;JJ031;9;5;2;19;3;2011-08-24
412;1565;30775;J21;2;3;3;15;5;2011-08-26
413;1687;30676;J013;3;2;3;21;3;2011-09-01
414;623;30676;J013;5;4;2;29;2;2011-09-02
415;558;30676;J013;9;4;2;18;4;2011-09-04
416;1657;30775;JJ.23;2;2;2;16;1;2011-09-09
417;657;30775;J16;6;2;3;44;4;2011-09-10
418;297;30775;JJ.23;6;5;2;31;3;2011-09-11
419;252;30774;J21;6;4;2;67;5;2011-09-13
420;515;30774;J21;8;5;3;58;2;2011-09-14
421;98;30809;K58;3;2;2;91;3;2011-09-16
422;1679;30809;K58;4;1;3;20;5;2011-09-17
423;1017;30809;K58;2;1;2;24;4;2011-09-18
424;1608;30775;JJ.23;6;3;2;61;5;2011-09-19
425;1082;30809;K57;4;4;3;68;3;2011-09-22
426;1161;30809;K57;8;5;2;21;3;2011-09-22
427;1452;30782;II045;9;2;2;37;5;2011-09-22
428;305;30775;JJ23;8;4;2;63;3;2011-09-23
429;519;30782;II045;6;5;2;22;5;2011-09-23
430;717;30809;K57;1;2;4;87;4;2011-09-23
431;1213;30782;II045;2;2;2;22;3;2011-09-23
432;1705;30775;JJ23;1;1;2;63;2;2011-09-23
433;298;30707;O7;1;2;2;43;5;2011-09-24
434;1522;30707;O7;4;3;2;70;2;2011-09-24
435;1693;30707;O7;6;1;2;14;2;2011-09-24
436;1602;30775;JJ.23;5;5;2;67;2;2011-09-25
437;1587;30782;JJ58;10;4;3;61;5;2011-09-26
438;559;30809;K.58;8;5;3;27;3;2011-10-01
439;1091;30809;K.57;9;4;2;44;3;2011-10-01
440;138;30782;JJ58;6;5;3;8;4;2011-10-03
441;1631;30782;JJ58;8;4;2;69;4;2011-10-03
442;1641;30782;JJ58;4;3;2;44;3;2011-10-03
443;697;30809;K.57;6;1;2;13;5;2011-10-07
444;1055;30809;K.57;10;2;2;62;1;2011-10-07
445;1086;30809;K.57;2;4;2;70;5;2011-10-08
446;1508;30782;JJ58;6;1;2;61;3;2011-10-08
447;1556;30782;JJ58;4;2;3;92;5;2011-10-09
448;185;30782;JJ58;1;1;3;59;4;2011-10-11
449;894;30673;JJ035;10;1;2;33;5;2011-10-12
450;1754;30673;JJ035;4;3;2;25;1;2011-10-13
451;1698;30673;JJ035;6;1;2;28;4;2011-10-14
452;25;30673;JJ035;5;1;3;24;2;2011-10-15
453;591;30673;JJ035;10;5;2;24;5;2011-10-15
454;805;30673;JJ035;8;3;4;145;4;2011-10-16
455;186;30782;JJ58;4;2;2;24;2;2011-10-17
456;605;30777;H.002;2;5;2;94;4;2011-10-17
457;689;30673;JJ035;7;1;2;21;5;2011-10-17
458;1604;30673;JJ035;8;1;2;21;3;2011-10-17
459;257;30782;JJ58;5;3;2;31;3;2011-10-19
460;441;30782;JJ58;7;3;2;70;3;2011-10-19
461;936;30673;JJ035;2;2;2;28;2;2011-10-19
462;1159;30777;H.002;7;2;2;37;3;2011-10-19
